,Genus,Step1,Step2,Step3,Step4,Step5,Step6,Step7,Step8,Step9,Subpathway1,Subpathway2,Subpathway3,Subpathway4,Subpathway5,Subpathway6,MaxCompletion,Group,Type
1046,Thalassolituus,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Gamma-Other,MAG
1047,Thalassospira,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
1048,Thalassotalea,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Gamma-Other,MAG
1049,Thermoanaerobacterium,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Firmicutes,MAG
1050,Thermococcus,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0,0,0,0.75,Archaea-Other,MAG
1051,Thermococcus_A,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Archaea-Other,MAG
1052,Thermodesulforhabdus,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Bacteria-Other,MAG
1053,Thermophagus,0,1,0,0,0,1,0,1,0,0.5,0.25,0.75,0.25,0,0,0.75,Bacteroidota,MAG
1054,Thermosipho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,MAG
1055,Thermosipho_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,MAG
1056,Thermosulfurimonas,0,0,1,0,1,0,0,0,0,0,0,0.25,0.25,0,0.333333333333333,0.333333333333333,Bacteria-Other,MAG
1057,Thermovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria-Other,MAG
1058,Thiobacillus,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Gamma-Other,MAG
1059,Thioclava,0,1,1,0,1,1,0,1,0,0.5,0.25,1,0.5,0,0.333333333333333,1,Alpha-Rhodobacter,MAG
1060,Thioglobus,0,1,1,0,1,0,0,0,0,0,0,0.5,0.25,0,0.333333333333333,0.5,Gamma-Other,MAG
1061,Thioglobus_B,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,Gamma-Other,MAG
1062,Tistrella,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Other,MAG
1063,Tranquillimonas,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1064,Tritonibacter,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1065,Tropicibacter,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1066,Tropicimonas,0,0,1,0,0,1,0,1,0,0.5,0.25,0.5,0.5,0,0.333333333333333,0.5,Alpha-Rhodobacter,MAG
1067,UA16,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Bacteroidota,MAG
1068,UBA1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patescibacteria,MAG
1069,UBA10066,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,Bacteroidota,MAG
1070,UBA1014,0,0,1,0,0,0,0,0,1,0,0.25,0,0.5,0.333333333333333,0.666666666666667,0.666666666666667,SAR324,MAG
1071,UBA102,0,1,1,0,1,1,0,1,0,0.5,0.25,1,0.5,0,0.333333333333333,1,Archaea-Other,MAG
1072,UBA10329,0,1,0,0,0,1,0,0,1,0.25,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.5,Bacteroidota,MAG
1073,UBA10347,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Actinobacteriota,MAG
1074,UBA10364,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Bacteroidota,MAG
1075,UBA10365,0,1,0,0,1,1,0,1,0,0.5,0.25,1,0.25,0,0,1,Alpha-Rhodobacter,MAG
1076,UBA10425,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,Alpha-Other,MAG
1077,UBA1096,0,1,0,0,0,1,0,1,1,0.5,0.5,0.75,0.5,0.333333333333333,0.333333333333333,0.75,Verrucomicrobiota,MAG
1078,UBA1100,0,1,1,0,0,0,0,1,0,0.25,0,0.5,0.25,0,0.333333333333333,0.5,Verrucomicrobiota,MAG
1079,UBA11136,0,1,0,0,1,1,0,0,0,0.25,0.25,0.75,0.25,0,0,0.75,Alpha-Other,MAG
1080,UBA1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroflexota,MAG
1081,UBA1124,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0,0,0,0.75,Gamma-Other,MAG
1082,UBA1127,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,Chloroflexota,MAG
1083,UBA1135,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Planctomycetota,MAG
1084,UBA11363,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Planctomycetota,MAG
1085,UBA1138,0,1,1,0,1,0,0,0,0,0,0,0.5,0.25,0,0.333333333333333,0.5,Gemmatimonadota,MAG
1086,UBA1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroflexota,MAG
1087,UBA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidobacteriota,MAG
1088,UBA11606,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Actinobacteriota,MAG
1089,UBA11612,0,1,0,0,1,0,0,1,0,0.25,0,0.75,0,0,0,0.75,Alpha-Other,MAG
1090,UBA11618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Patescibacteria,MAG
1091,UBA11650,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0.333333333333333,0.333333333333333,Chloroflexota,MAG
1092,UBA11654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gamma-Other,MAG
1093,UBA11657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chloroflexota,MAG
1094,UBA11663,0,1,0,0,0,1,0,0,0,0.25,0.25,0.5,0.25,0,0,0.5,Bacteroidota,MAG
1095,UBA1172,0,1,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0.5,Alpha-Other,MAG
1096,UBA11791,0,0,1,0,1,0,0,1,0,0.25,0,0.5,0.25,0,0.333333333333333,0.5,Gamma-Other,MAG
1097,UBA11795,0,0,0,0,0,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0.25,Chloroflexota,MAG
1098,UBA11869,0,0,1,0,1,1,0,1,0,0.5,0.25,0.75,0.5,0,0.333333333333333,0.75,Gamma-Other,MAG
